common_name,R1_file,R1_md5sum,R2_file,R2_md5sum
NSCLC_sn_5p_v2,NSCL-NR001-5pv2-snseq_S1_L001_R1_001.fastq.gz,c24f8b4e583f8012c0690e9c68e2a1d5,NSCL-NR001-5pv2-snseq_S1_L001_R2_001.fastq.gz,d620aad0045eb4a79bfc01e9f7fba86b
UMEL_4_1_usWGS,uM_11_LC_Pre_S150_L001_R1_001.fastq.gz,f908d26c1e6b1893e6291cbb427b4ad5,uM_11_LC_Pre_S150_L001_R2_001.fastq.gz,4c5255e7372fac7f91a3811b87365c90
ribas_310_pre_WES,HM-baseline_TGACCA_R1.fastq.gz,b2bdc8a55a809e75c9a6393a0780cc2c,HM-baseline_TGACCA_R2.fastq.gz,49424da11837a88fe3e50033cd98ab52
ribas_310_on_later_slide,JB_BI_demultiplexing_ECM08_on_later_S13_L004_R1_001.fastq.gz,ac4016324ef827181c2d67f0f2595cc3,JB_BI_demultiplexing_ECM08_on_later_S13_L004_R2_001.fastq.gz,f9c4ba161d5d238b8a8fa3165b6f1a7e
Mel_sn_5p,bi005-skcm-5snseq_S1_L001_R1_001.fastq.gz,bd176f1b19b830708d291e8dbbba8719,bi005-skcm-5snseq_S1_L001_R2_001.fastq.gz,76e73f7f3c24419ebd85579fa9f5ae7a
UMEL_1_1_TCR,UM_07_GK_pre_TCR_S1_L004_R1_001.fastq.gz,3d5b3a094ab4d9b37c9b0d1aa46ce044,UM_07_GK_pre_TCR_S1_L004_R2_001.fastq.gz,09b9416d09b30542fa00b2b112ef4a6e
UM_sc_5p_CD45_plus,UMEL-CUUM1-SCRNA-5P-NA-PRIMARY-GEX-F1_S1_L004_R1_001.fastq.gz,1e440f545dcb03d0a532e36cbf56c266,UMEL-CUUM1-SCRNA-5P-NA-PRIMARY-GEX-F1_S1_L004_R2_001.fastq.gz,15432729122df7ddc21862fe755c5dfa
UMEL_3_2_usWGS,uM_09_MW_ON_S148_L001_R1_001.fastq.gz,35727823507c3675aea5ce03a5f5a4d8,uM_09_MW_ON_S148_L001_R2_001.fastq.gz,d794769d5d8f0056c51b5b79ee55424b
UMEL_3_3,um_09_mw_post_S7_L001_R1_001.fastq.gz,f68ac59098115a74fd728ba7ed8e3d17,um_09_mw_post_S7_L001_R2_001.fastq.gz,d219ff79630d0e106383f1dabcbaa967
NSCLC_sn_3p,NSCL-NR001-SNSEQ-3P-NI-BRAIN-GEX-G2_S3_L004_R1_001.fastq.gz,f651fbe2e5f3dd499bf4e844c16f4152,NSCL-NR001-SNSEQ-3P-NI-BRAIN-GEX-G2_S3_L004_R2_001.fastq.gz,c8d244b14ec04f576c81c2e6971081a0
ribas_310_on_later,Ribas3103GEX_S4_L003_R1_001.fastq.gz,7ee4639dd92ad2b9a78ff8da1ba60a9f,Ribas3103GEX_S4_L003_R2_001.fastq.gz,0459289de42b90fa257b6c7ec3b050a8
